Q2   W     ε      θ      σT + εσL        σT L             σT T            
0.4  1.19  0.816  67.5   11.654 ± 0.74   −2.144 ± 0.31    −6.047 ± 0.15   
0.4  1.19  0.816  82.5   12.359 ± 0.79   −1.784 ± 0.34    −7.104 ± 0.17   
0.4  1.19  0.816  97.5   12.523 ± 0.76   −0.764 ± 0.16    −6.557 ± 0.06   
0.4  1.19  0.816  112.5  12.034 ± 0.74   −0.268 ± 0.19    −5.973 ± 0.07   
0.4  1.19  0.816  127.5  11.437 ± 0.74   −0.509 ± 0.32    −3.368 ± 0.16   
0.4  1.19  0.816  142.5  6.464 ± 1.96    4.437 ± 1.80     −8.293 ± 2.42   
0.4  1.21  0.806  7.5    10.629 ± 0.97   −1.161 ± 0.66    −1.591 ± 0.52   
0.4  1.21  0.806  22.5   10.347 ± 0.72   −1.708 ± 0.33    −0.492 ± 0.16   
0.4  1.21  0.806  37.5   11.336 ± 0.92   −2.215 ± 0.41    −2.583 ± 0.22   
0.4  1.21  0.806  52.5   13.319 ± 1.05   −1.537 ± 0.76    −4.211 ± 0.61   
0.4  1.21  0.806  67.5   14.824 ± 0.99   −1.601 ± 0.50    −7.055 ± 0.33   
0.4  1.21  0.806  82.5   14.388 ± 0.95   −2.225 ± 0.36    −9.401 ± 0.19   
0.4  1.21  0.806  97.5   15.504 ± 0.93   −0.987 ± 0.23    −8.303 ± 0.10   
0.4  1.21  0.806  112.5  13.911 ± 0.85   −0.142 ± 0.16    −7.085 ± 0.07   
0.4  1.21  0.806  127.5  12.328 ± 0.79   0.116 ± 0.27     −5.073 ± 0.13   
0.4  1.21  0.806  142.5  12.066 ± 1.95   −0.743 ± 1.63    −1.899 ± 1.94   
0.4  1.23  0.795  7.5    11.708 ± 3.72   −0.856 ± 3.40    −1.593 ± 6.26   
0.4  1.23  0.795  22.5   13.914 ± 1.04   −0.465 ± 0.32    −1.624 ± 0.16   
0.4  1.23  0.795  37.5   12.940 ± 0.90   −1.533 ± 0.39    −3.270 ± 0.22   
0.4  1.23  0.795  52.5   13.269 ± 0.87   −1.966 ± 0.47    −4.924 ± 0.30   
0.4  1.23  0.795  67.5   14.214 ± 0.91   −1.158 ± 0.37    −5.951 ± 0.21   
0.4  1.23  0.795  82.5   13.309 ± 0.86   −1.329 ± 0.43    −7.421 ± 0.23   
0.4  1.23  0.795  97.5   13.116 ± 0.79   −0.789 ± 0.21    −7.061 ± 0.08   
0.4  1.23  0.795  112.5  11.843 ± 0.71   −0.130 ± 0.15    −5.314 ± 0.06   
0.4  1.23  0.795  127.5  9.943 ± 0.61    0.488 ± 0.19     −3.987 ± 0.08   
0.4  1.23  0.795  142.5  8.864 ± 1.56    −0.666 ± 1.40    −0.921 ± 1.41   
0.4  1.25  0.783  22.5   13.387 ± 0.91   −0.006 ± 0.29    −0.282 ± 0.14   
0.4  1.25  0.783  37.5   12.410 ± 0.95   −0.725 ± 0.52    −1.046 ± 0.35   
0.4  1.25  0.783  52.5   12.555 ± 0.86   −0.551 ± 0.44    −3.525 ± 0.29   
0.4  1.25  0.783  67.5   11.558 ± 0.79   −0.931 ± 0.42    −4.732 ± 0.26   
0.4  1.25  0.783  82.5   10.427 ± 0.69   −1.245 ± 0.30    −5.298 ± 0.15   
0.4  1.25  0.783  97.5   9.799 ± 0.60    −0.698 ± 0.16    −5.462 ± 0.05   
0.4  1.25  0.783  112.5  8.530 ± 0.53    −0.211 ± 0.12    −4.097 ± 0.04   
0.4  1.25  0.783  127.5  6.740 ± 0.46    0.244 ± 0.17     −2.504 ± 0.06   
0.4  1.25  0.783  142.5  4.298 ± 1.06    0.813 ± 0.95     −2.804 ± 0.84   
0.4  1.27  0.77   22.5   13.365 ± 0.94   0.430 ± 0.29     1.435 ± 0.15    
0.4  1.27  0.77   37.5   12.235 ± 1.03   −0.357 ± 0.53    −2.254 ± 0.34   
0.4  1.27  0.77   52.5   11.206 ± 0.75   −0.323 ± 0.32    −2.769 ± 0.17   
0.4  1.27  0.77   67.5   9.097 ± 0.63    −1.080 ± 0.38    −4.248 ± 0.22   
0.4  1.27  0.77   82.5   8.357 ± 0.54    −0.789 ± 0.24    −4.072 ± 0.11   
0.4  1.27  0.77   97.5   7.057 ± 0.45    −0.654 ± 0.16    −3.561 ± 0.05   
0.4  1.27  0.77   112.5  5.728 ± 0.35    −0.335 ± 0.10    −2.374 ± 0.03   
0.4  1.27  0.77   127.5  4.406 ± 0.38    −0.137 ± 0.26    −2.038 ± 0.12   
0.4  1.27  0.77   142.5  3.406 ± 1.13    −0.057 ± 1.04    −1.007 ± 0.90   
0.4  1.29  0.757  7.5    20.088 ± 10.46  −4.928 ± 9.92    5.324 ± 31.23   
0.4  1.29  0.757  22.5   13.465 ± 1.08   0.290 ± 0.29     −2.148 ± 0.14   
0.4  1.29  0.757  37.5   10.746 ± 0.89   −0.167 ± 0.55    −1.414 ± 0.35   
0.4  1.29  0.757  52.5   9.464 ± 0.61    0.001 ± 0.18     −2.089 ± 0.07   
0.4  1.29  0.757  67.5   7.110 ± 0.55    −1.180 ± 0.38    −3.252 ± 0.20   
0.4  1.29  0.757  82.5   6.630 ± 0.41    −0.729 ± 0.13    −2.639 ± 0.04   
0.4  1.29  0.757  97.5   5.024 ± 0.33    −0.653 ± 0.18    −2.176 ± 0.06   
0.4  1.29  0.757  112.5  3.862 ± 0.24    −0.390 ± 0.09    −1.519 ± 0.02   
0.4  1.29  0.757  127.5  2.770 ± 0.20    −0.207 ± 0.08    −1.215 ± 0.02   
0.4  1.29  0.757  142.5  1.998 ± 0.81    −0.212 ± 0.79    −0.727 ± 0.65   
0.4  1.31  0.742  7.5    16.645 ± 2.87   −2.076 ± 2.94    1.145 ± 4.34    
0.4  1.31  0.742  22.5   13.185 ± 1.23   −0.187 ± 0.52    −1.300 ± 0.36   
0.4  1.31  0.742  37.5   9.716 ± 1.14    −0.207 ± 0.94    −2.259 ± 0.79   
0.4  1.31  0.742  52.5   8.482 ± 0.57    −0.116 ± 0.23    −2.050 ± 0.10   
0.4  1.31  0.742  67.5   5.575 ± 0.44    −1.115 ± 0.33    −3.102 ± 0.18   
0.4  1.31  0.742  82.5   4.906 ± 0.32    −0.621 ± 0.17    −2.543 ± 0.06   
0.4  1.31  0.742  97.5   4.012 ± 0.27    −0.468 ± 0.12    −1.918 ± 0.03   
0.4  1.31  0.742  112.5  2.746 ± 0.18    −0.414 ± 0.08    −1.062 ± 0.02   
0.4  1.31  0.742  127.5  1.790 ± 0.13    −0.155 ± 0.06    −0.999 ± 0.01   
0.4  1.31  0.742  142.5  1.005 ± 0.34    0.292 ± 0.35     −0.540 ± 0.19   
0.4  1.33  0.726  7.5    14.481 ± 1.03   −0.836 ± 0.62    −0.892 ± 0.45   
0.4  1.33  0.726  22.5   12.583 ± 2.70   −0.580 ± 2.78    −1.031 ± 4.61   
0.4  1.33  0.726  37.5   9.506 ± 0.72    0.043 ± 0.42     −2.850 ± 0.26   
0.4  1.33  0.726  52.5   7.160 ± 0.48    −0.226 ± 0.20    −2.266 ± 0.08   
0.4  1.33  0.726  67.5   4.769 ± 0.37    −1.118 ± 0.24    −2.891 ± 0.11   
0.4  1.33  0.726  82.5   4.537 ± 0.32    −0.250 ± 0.18    −1.643 ± 0.07   
0.4  1.33  0.726  97.5   3.176 ± 0.20    −0.669 ± 0.09    −1.843 ± 0.02   
0.4  1.33  0.726  112.5  2.301 ± 0.15    −0.519 ± 0.07    −1.041 ± 0.02   
0.4  1.33  0.726  127.5  1.401 ± 0.15    −0.283 ± 0.10    −0.669 ± 0.03   
0.4  1.33  0.726  142.5  1.480 ± 1.07    −0.816 ± 1.06    0.269 ± 1.03    
0.4  1.35  0.709  7.5    12.538 ± 0.87   0.038 ± 0.38     −0.776 ± 0.23   
0.4  1.35  0.709  22.5   12.641 ± 1.70   −0.736 ± 1.81    1.983 ± 2.41    
0.4  1.35  0.709  37.5   8.794 ± 0.63    1.050 ± 0.44     −1.406 ± 0.26   
0.4  1.35  0.709  52.5   6.262 ± 0.47    −0.205 ± 0.18    −2.630 ± 0.07   
0.4  1.35  0.709  67.5   5.251 ± 0.42    0.126 ± 0.28     −2.136 ± 0.15   
0.4  1.35  0.709  82.5   3.660 ± 0.26    −0.361 ± 0.17    −1.911 ± 0.06   
0.4  1.35  0.709  97.5   2.649 ± 0.17    −0.504 ± 0.07    −1.500 ± 0.02   
0.4  1.35  0.709  112.5  1.839 ± 0.12    −0.371 ± 0.05    −0.878 ± 0.01   
0.4  1.35  0.709  127.5  1.093 ± 0.11    −0.294 ± 0.10    −0.411 ± 0.03   
0.4  1.35  0.709  142.5  0.923 ± 0.29    −0.366 ± 0.28    −0.064 ± 0.14   
0.4  1.37  0.691  7.5    10.500 ± 0.75   −0.023 ± 0.30    −0.477 ± 0.16   
0.4  1.37  0.691  22.5   10.651 ± 1.23   0.178 ± 1.28     0.962 ± 1.40    
0.4  1.37  0.691  37.5   7.576 ± 0.55    0.992 ± 0.38     −1.692 ± 0.22   
0.4  1.37  0.691  52.5   6.200 ± 0.48    0.363 ± 0.28     −2.621 ± 0.12   
0.4  1.37  0.691  67.5   4.303 ± 0.38    −0.423 ± 0.22    −2.805 ± 0.09   
0.4  1.37  0.691  82.5   3.357 ± 0.22    −0.345 ± 0.11    −2.107 ± 0.03   
0.4  1.37  0.691  97.5   2.200 ± 0.15    −0.423 ± 0.07    −1.432 ± 0.02   
0.4  1.37  0.691  112.5  1.392 ± 0.09    −0.212 ± 0.06    −0.803 ± 0.01   
0.4  1.37  0.691  127.5  0.919 ± 0.08    −0.240 ± 0.05    −0.404 ± 0.01   
0.4  1.37  0.691  142.5  0.607 ± 0.21    −0.129 ± 0.21    −0.213 ± 0.08   
0.4  1.39  0.672  7.5    10.145 ± 0.72   0.725 ± 0.33     −1.417 ± 0.17   
0.4  1.39  0.672  22.5   8.519 ± 0.87    0.344 ± 0.56     −1.264 ± 0.37   
0.4  1.39  0.672  37.5   6.839 ± 0.57    1.172 ± 0.43     −1.647 ± 0.24   
0.4  1.39  0.672  52.5   5.273 ± 0.40    0.282 ± 0.22     −2.464 ± 0.10   
0.4  1.39  0.672  67.5   4.353 ± 0.39    −0.104 ± 0.21    −2.589 ± 0.09   
0.4  1.39  0.672  82.5   2.844 ± 0.19    −0.323 ± 0.10    −2.192 ± 0.03   
0.4  1.39  0.672  97.5   2.062 ± 0.16    −0.303 ± 0.07    −1.166 ± 0.02   
0.4  1.39  0.672  112.5  1.327 ± 0.09    −0.244 ± 0.04    −0.817 ± 0.01   
0.4  1.39  0.672  127.5  0.841 ± 0.10    −0.191 ± 0.04    −0.397 ± 0.01   
0.4  1.39  0.672  142.5  0.478 ± 0.33    −0.100 ± 0.34    −0.119 ± 0.18   
0.4  1.41  0.652  7.5    9.513 ± 0.75    0.998 ± 0.30     −0.006 ± 0.16   
0.4  1.41  0.652  22.5   7.418 ± 0.58    0.733 ± 0.40     −1.663 ± 0.22   
0.4  1.41  0.652  37.5   7.764 ± 1.57    −0.336 ± 1.38    0.322 ± 1.61    
0.4  1.41  0.652  52.5   5.225 ± 0.39    0.312 ± 0.25     −3.468 ± 0.12   
0.4  1.41  0.652  67.5   4.122 ± 0.29    0.035 ± 0.11     −2.973 ± 0.03   
0.4  1.41  0.652  82.5   2.937 ± 0.20    −0.301 ± 0.08    −1.971 ± 0.02   
0.4  1.41  0.652  97.5   2.051 ± 0.14    −0.228 ± 0.07    −1.168 ± 0.02   
0.4  1.41  0.652  112.5  1.245 ± 0.12    −0.270 ± 0.07    −0.683 ± 0.02   
0.4  1.41  0.652  127.5  0.776 ± 0.06    −0.167 ± 0.03    −0.456 ± 0.01   
0.4  1.41  0.652  142.5  0.699 ± 0.21    −0.353 ± 0.21    0.051 ± 0.09    
0.4  1.43  0.63   7.5    8.054 ± 0.82    0.720 ± 0.30     0.173 ± 0.14    
0.4  1.43  0.63   22.5   7.594 ± 0.71    1.440 ± 0.64     −0.764 ± 0.46   
0.4  1.43  0.63   37.5   5.185 ± 1.39    2.236 ± 1.29     −3.661 ± 1.44   
0.4  1.43  0.63   52.5   5.248 ± 0.51    0.577 ± 0.35     −2.945 ± 0.17   
0.4  1.43  0.63   67.5   4.362 ± 0.29    0.078 ± 0.11     −3.157 ± 0.03   
0.4  1.43  0.63   82.5   2.839 ± 0.19    −0.379 ± 0.07    −2.452 ± 0.02   
0.4  1.43  0.63   97.5   2.128 ± 0.15    −0.313 ± 0.07    −1.625 ± 0.02   
0.4  1.43  0.63   112.5  1.394 ± 0.10    −0.224 ± 0.06    −0.882 ± 0.01   
0.4  1.43  0.63   127.5  0.922 ± 0.08    −0.171 ± 0.05    −0.366 ± 0.01   
0.4  1.43  0.63   142.5  0.681 ± 0.21    −0.258 ± 0.25    −0.101 ± 0.11   
0.4  1.45  0.607  7.5    7.515 ± 0.59    0.441 ± 0.29     −0.007 ± 0.13   
0.4  1.45  0.607  22.5   7.144 ± 0.92    1.425 ± 0.83     −1.704 ± 0.64   
0.4  1.45  0.607  37.5   7.303 ± 0.72    0.507 ± 0.55     −1.910 ± 0.36   
0.4  1.45  0.607  52.5   4.973 ± 0.40    −0.047 ± 0.24    −4.138 ± 0.11   
0.4  1.45  0.607  67.5   4.293 ± 0.32    0.097 ± 0.11     −3.189 ± 0.04   
0.4  1.45  0.607  82.5   3.317 ± 0.23    −0.301 ± 0.09    −2.808 ± 0.02   
0.4  1.45  0.607  97.5   2.377 ± 0.18    −0.281 ± 0.10    −1.857 ± 0.02   
0.4  1.45  0.607  112.5  1.661 ± 0.12    −0.265 ± 0.06    −1.127 ± 0.01   
0.4  1.45  0.607  127.5  1.140 ± 0.08    −0.213 ± 0.05    −0.786 ± 0.01   
0.4  1.45  0.607  142.5  0.718 ± 0.08    −0.097 ± 0.08    −0.624 ± 0.02   
0.4  1.47  0.582  7.5    7.799 ± 0.58    0.462 ± 0.25     −0.124 ± 0.12   
0.4  1.47  0.582  22.5   7.598 ± 1.02    2.182 ± 0.89     −0.943 ± 0.73   
0.4  1.47  0.582  37.5   6.561 ± 0.64    1.589 ± 0.43     −2.271 ± 0.26   
0.4  1.47  0.582  52.5   5.648 ± 0.40    0.341 ± 0.38     −4.398 ± 0.23   
0.4  1.47  0.582  67.5   4.635 ± 0.33    0.008 ± 0.12     −3.282 ± 0.04   
0.4  1.47  0.582  82.5   3.632 ± 0.29    −0.479 ± 0.08    −3.444 ± 0.02   
0.4  1.47  0.582  97.5   3.079 ± 0.21    −0.462 ± 0.10    −2.236 ± 0.03   
0.4  1.47  0.582  112.5  2.338 ± 0.17    −0.377 ± 0.05    −1.632 ± 0.01   
0.4  1.47  0.582  127.5  1.668 ± 0.12    −0.373 ± 0.06    −1.076 ± 0.01   
0.4  1.47  0.582  142.5  1.039 ± 0.33    −0.154 ± 0.33    −0.632 ± 0.18   
0.4  1.49  0.557  7.5    8.104 ± 0.88    0.964 ± 0.29     0.314 ± 0.15    
0.4  1.49  0.557  22.5   5.764 ± 1.00    0.100 ± 1.08     −3.494 ± 1.09   
0.4  1.49  0.557  37.5   6.555 ± 1.04    1.148 ± 1.01     −2.172 ± 0.88   
0.4  1.49  0.557  52.5   5.826 ± 0.40    0.497 ± 0.37     −4.188 ± 0.21   
0.4  1.49  0.557  67.5   5.013 ± 0.37    0.170 ± 0.14     −4.030 ± 0.04   
0.4  1.49  0.557  82.5   4.242 ± 0.30    −0.380 ± 0.12    −3.697 ± 0.04   
0.4  1.49  0.557  97.5   3.545 ± 0.25    −0.422 ± 0.09    −2.900 ± 0.02   
0.4  1.49  0.557  112.5  3.114 ± 0.24    −0.541 ± 0.08    −2.456 ± 0.02   
0.4  1.49  0.557  127.5  2.446 ± 0.17    −0.339 ± 0.13    −1.694 ± 0.04   
0.4  1.49  0.557  142.5  1.685 ± 0.19    −0.357 ± 0.19    −0.875 ± 0.07   
0.4  1.51  0.529  7.5    9.273 ± 0.67    1.069 ± 0.43     0.303 ± 0.24    
0.4  1.51  0.529  22.5   7.981 ± 1.79    2.924 ± 1.98     −0.555 ± 0.77   
0.4  1.51  0.529  37.5   5.743 ± 0.57    0.985 ± 0.55     −1.511 ± 0.39   
0.4  1.51  0.529  67.5   3.641 ± 0.25    0.185 ± 0.10     −2.581 ± 0.03   
0.4  1.51  0.529  82.5   3.220 ± 0.21    −0.331 ± 0.09    −3.287 ± 0.03   
0.4  1.51  0.529  97.5   3.228 ± 0.22    −0.193 ± 0.13    −2.325 ± 0.04   
0.4  1.51  0.529  112.5  2.926 ± 0.22    −0.331 ± 0.06    −2.279 ± 0.01   
0.4  1.51  0.529  127.5  2.497 ± 0.17    −0.360 ± 0.08    −1.452 ± 0.02   
0.4  1.51  0.529  142.5  1.833 ± 0.28    −0.408 ± 0.20    −1.176 ± 0.07   
0.4  1.53  0.501  7.5    11.265 ± 0.91   1.667 ± 0.75     1.800 ± 0.59    
0.4  1.53  0.501  22.5   7.033 ± 1.59    0.924 ± 1.80     −1.253 ± 2.42   
0.4  1.53  0.501  37.5   4.894 ± 0.50    0.400 ± 0.60     −1.814 ± 0.42   
0.4  1.53  0.501  52.5   4.648 ± 0.73    −1.267 ± 0.71    0.770 ± 0.59    
0.4  1.53  0.501  67.5   2.452 ± 0.19    0.118 ± 0.08     −1.947 ± 0.02   
0.4  1.53  0.501  82.5   2.171 ± 0.15    −0.078 ± 0.09    −1.888 ± 0.03   
0.4  1.53  0.501  97.5   2.356 ± 0.20    −0.318 ± 0.11    −2.149 ± 0.03   
0.4  1.53  0.501  112.5  2.486 ± 0.17    −0.289 ± 0.11    −2.218 ± 0.03   
0.4  1.53  0.501  127.5  2.140 ± 0.16    −0.167 ± 0.08    −1.534 ± 0.02   
0.4  1.53  0.501  142.5  1.759 ± 0.20    −0.260 ± 0.17    −0.697 ± 0.06   
0.4  1.55  0.47   97.5   1.236 ± 0.23    0.242 ± 0.26     −1.528 ± 0.13   
0.5  1.11  0.808  22.5   2.702 ± 0.33    −0.322 ± 0.20    0.624 ± 0.08    
0.5  1.11  0.808  37.5   2.709 ± 0.25    −0.169 ± 0.13    −0.182 ± 0.04   
0.5  1.11  0.808  52.5   2.718 ± 0.30    −0.316 ± 0.21    0.161 ± 0.09    
0.5  1.11  0.808  67.5   2.726 ± 0.26    −0.892 ± 0.23    −0.922 ± 0.10   
0.5  1.11  0.808  82.5   2.462 ± 0.21    −0.551 ± 0.19    −0.173 ± 0.07   
0.5  1.11  0.808  97.5   2.104 ± 0.24    −0.360 ± 0.21    −0.695 ± 0.09   
0.5  1.11  0.808  112.5  3.745 ± 0.64    0.926 ± 0.58     1.033 ± 0.42    
0.5  1.11  0.808  127.5  2.589 ± 0.58    −0.631 ± 0.51    −1.897 ± 0.32   
0.5  1.13  0.799  7.5    3.062 ± 0.44    −0.520 ± 0.34    0.161 ± 0.18    
0.5  1.13  0.799  22.5   3.523 ± 0.33    −0.028 ± 0.23    −0.095 ± 0.09   
0.5  1.13  0.799  37.5   3.282 ± 0.29    −0.697 ± 0.14    −0.308 ± 0.05   
0.5  1.13  0.799  52.5   3.233 ± 0.28    −0.972 ± 0.13    −0.608 ± 0.04   
0.5  1.13  0.799  67.5   3.368 ± 0.25    −1.096 ± 0.18    −1.802 ± 0.06   
0.5  1.13  0.799  82.5   3.362 ± 0.24    −0.960 ± 0.17    −1.786 ± 0.06   
0.5  1.13  0.799  97.5   3.301 ± 0.31    −0.615 ± 0.17    −1.752 ± 0.06   
0.5  1.13  0.799  112.5  3.446 ± 0.36    −0.290 ± 0.30    −1.080 ± 0.15   
0.5  1.13  0.799  127.5  3.622 ± 0.52    −0.989 ± 0.47    −2.179 ± 0.28   
0.5  1.15  0.789  7.5    4.027 ± 0.98    −1.328 ± 0.66    −0.354 ± 0.48   
0.5  1.15  0.789  22.5   3.890 ± 0.31    −0.573 ± 0.13    −0.941 ± 0.04   
0.5  1.15  0.789  37.5   3.803 ± 0.30    −0.864 ± 0.21    0.106 ± 0.08    
0.5  1.15  0.789  52.5   4.452 ± 0.36    −0.803 ± 0.30    −0.934 ± 0.14   
0.5  1.15  0.789  67.5   4.902 ± 0.33    −0.959 ± 0.19    −2.627 ± 0.07   
0.5  1.15  0.789  82.5   5.105 ± 0.34    −0.874 ± 0.19    −2.557 ± 0.07   
0.5  1.15  0.789  97.5   4.938 ± 0.35    −0.847 ± 0.22    −2.934 ± 0.09   
0.5  1.15  0.789  112.5  4.938 ± 0.34    −0.550 ± 0.19    −2.478 ± 0.07   
0.5  1.15  0.789  127.5  4.939 ± 0.83    −1.000 ± 0.46    −1.852 ± 0.27   
0.5  1.15  0.789  142.5  8.678 ± 2.20    −3.743 ± 2.04    0.562 ± 2.90    
0.5  1.17  0.779  7.5    3.713 ± 0.45    −0.331 ± 0.24    −1.059 ± 0.11   
0.5  1.17  0.779  22.5   4.173 ± 0.34    −0.927 ± 0.19    −0.374 ± 0.07   
0.5  1.17  0.779  37.5   4.817 ± 0.48    −1.284 ± 0.31    −0.806 ± 0.14   
0.5  1.17  0.779  52.5   5.701 ± 0.54    −1.292 ± 0.41    −1.645 ± 0.23   
0.5  1.17  0.779  67.5   7.084 ± 0.51    −1.071 ± 0.20    −3.452 ± 0.08   
0.5  1.17  0.779  82.5   8.029 ± 0.57    −0.590 ± 0.48    −3.990 ± 0.28   
0.5  1.17  0.779  97.5   7.002 ± 0.47    −0.799 ± 0.25    −4.587 ± 0.11   
0.5  1.17  0.779  112.5  7.352 ± 0.49    −0.399 ± 0.25    −3.888 ± 0.10   
0.5  1.17  0.779  127.5  6.752 ± 0.46    −0.143 ± 0.20    −3.269 ± 0.09   
0.5  1.17  0.779  142.5  6.396 ± 1.66    0.979 ± 1.46     −2.279 ± 1.50   
0.5  1.19  0.768  7.5    4.683 ± 0.65    −1.122 ± 0.48    0.560 ± 0.33    
0.5  1.19  0.768  22.5   5.578 ± 0.84    −0.845 ± 0.75    0.318 ± 0.57    
0.5  1.19  0.768  37.5   7.227 ± 0.52    −1.475 ± 0.26    −1.395 ± 0.11   
0.5  1.19  0.768  52.5   8.185 ± 0.80    −1.536 ± 0.63    −3.264 ± 0.42   
0.5  1.19  0.768  67.5   9.722 ± 0.67    −1.555 ± 0.45    −5.435 ± 0.27   
0.5  1.19  0.768  82.5   10.126 ± 0.69   −1.280 ± 0.28    −6.003 ± 0.13   
0.5  1.19  0.768  97.5   10.496 ± 0.67   −0.687 ± 0.21    −6.100 ± 0.08   
0.5  1.19  0.768  112.5  9.976 ± 0.62    −0.411 ± 0.18    −5.675 ± 0.07   
0.5  1.19  0.768  127.5  8.936 ± 0.57    0.187 ± 0.23     −3.716 ± 0.10   
0.5  1.19  0.768  142.5  7.607 ± 1.74    1.346 ± 1.46     −3.774 ± 1.48   
0.5  1.21  0.757  7.5    6.565 ± 2.60    −1.176 ± 2.52    −0.567 ± 0.85   
0.5  1.21  0.757  22.5   9.243 ± 0.75    −0.755 ± 0.35    −0.731 ± 0.18   
0.5  1.21  0.757  37.5   8.825 ± 0.65    −1.369 ± 0.35    −1.456 ± 0.19   
0.5  1.21  0.757  52.5   10.245 ± 0.83   −1.720 ± 0.60    −4.074 ± 0.43   
0.5  1.21  0.757  67.5   12.805 ± 0.98   −0.168 ± 0.64    −3.635 ± 0.43   
0.5  1.21  0.757  82.5   11.884 ± 0.80   −1.493 ± 0.41    −6.450 ± 0.24   
0.5  1.21  0.757  97.5   12.356 ± 0.76   −0.891 ± 0.22    −7.339 ± 0.08   
0.5  1.21  0.757  112.5  11.098 ± 0.68   −0.188 ± 0.16    −6.412 ± 0.06   
0.5  1.21  0.757  127.5  9.682 ± 0.63    0.402 ± 0.20     −4.015 ± 0.08   
0.5  1.21  0.757  142.5  8.937 ± 1.52    −0.244 ± 1.27    −2.735 ± 1.25   
0.5  1.23  0.744  22.5   10.699 ± 0.73   −0.976 ± 0.23    −0.153 ± 0.10   
0.5  1.23  0.744  37.5   11.451 ± 0.81   −0.448 ± 0.36    −1.687 ± 0.20   
0.5  1.23  0.744  52.5   11.645 ± 0.84   −0.569 ± 0.47    −2.976 ± 0.32   
0.5  1.23  0.744  67.5   11.503 ± 0.79   −0.787 ± 0.48    −4.679 ± 0.30   
0.5  1.23  0.744  82.5   10.452 ± 0.70   −1.752 ± 0.39    −6.714 ± 0.23   
0.5  1.23  0.744  97.5   10.658 ± 0.65   −0.643 ± 0.19    −6.390 ± 0.07   
0.5  1.23  0.744  112.5  10.021 ± 0.61   0.194 ± 0.19     −4.633 ± 0.07   
0.5  1.23  0.744  127.5  8.074 ± 0.51    0.380 ± 0.15     −3.657 ± 0.05   
0.5  1.23  0.744  142.5  6.171 ± 0.98    1.215 ± 0.88     −4.059 ± 0.78   
0.5  1.25  0.731  22.5   11.692 ± 0.89   −0.082 ± 0.27    −0.384 ± 0.13   
0.5  1.25  0.731  37.5   10.812 ± 0.78   −0.804 ± 0.41    −1.046 ± 0.23   
0.5  1.25  0.731  52.5   11.382 ± 0.75   −0.432 ± 0.35    −2.462 ± 0.19   
0.5  1.25  0.731  67.5   9.824 ± 0.70    −0.931 ± 0.45    −3.891 ± 0.29   
0.5  1.25  0.731  82.5   8.885 ± 0.63    −1.124 ± 0.42    −4.332 ± 0.23   
0.5  1.25  0.731  97.5   8.154 ± 0.52    −0.590 ± 0.22    −4.037 ± 0.09   
0.5  1.25  0.731  112.5  7.026 ± 0.45    −0.234 ± 0.13    −2.907 ± 0.04   
0.5  1.25  0.731  127.5  5.463 ± 0.35    0.137 ± 0.16     −1.926 ± 0.05   
0.5  1.25  0.731  142.5  4.194 ± 0.66    0.562 ± 0.61     −1.339 ± 0.46   
0.5  1.27  0.716  7.5    58.334 ± 16.41  −42.845 ± 15.35  36.013 ± 60.16  
0.5  1.27  0.716  22.5   10.910 ± 0.88   −0.023 ± 0.29    0.180 ± 0.14    
0.5  1.27  0.716  37.5   11.031 ± 0.88   −0.219 ± 0.61    −2.213 ± 0.41   
0.5  1.27  0.716  52.5   9.362 ± 0.60    −0.173 ± 0.24    −2.219 ± 0.11   
0.5  1.27  0.716  67.5   7.570 ± 0.62    −1.195 ± 0.47    −3.478 ± 0.27   
0.5  1.27  0.716  82.5   7.194 ± 0.52    −0.679 ± 0.35    −2.736 ± 0.18   
0.5  1.27  0.716  97.5   5.943 ± 0.37    −0.512 ± 0.14    −2.221 ± 0.05   
0.5  1.27  0.716  112.5  4.658 ± 0.29    −0.038 ± 0.10    −1.834 ± 0.03   
0.5  1.27  0.716  127.5  3.607 ± 0.25    0.091 ± 0.11     −1.316 ± 0.03   
0.5  1.27  0.716  142.5  2.638 ± 0.72    0.134 ± 0.63     −1.225 ± 0.45   
0.5  1.29  0.701  7.5    19.215 ± 2.65   −5.363 ± 2.79    7.123 ± 4.57    
0.5  1.29  0.701  22.5   10.859 ± 1.00   0.512 ± 0.39     −0.954 ± 0.22   
0.5  1.29  0.701  37.5   9.499 ± 0.88    0.410 ± 0.61     2.486 ± 0.44    
0.5  1.29  0.701  52.5   7.943 ± 0.53    −0.499 ± 0.22    −1.485 ± 0.09   
0.5  1.29  0.701  67.5   6.771 ± 0.61    −0.630 ± 0.43    −1.759 ± 0.24   
0.5  1.29  0.701  82.5   5.331 ± 0.36    −0.922 ± 0.15    −2.281 ± 0.05   
0.5  1.29  0.701  97.5   4.211 ± 0.27    −0.603 ± 0.10    −1.957 ± 0.03   
0.5  1.29  0.701  112.5  3.357 ± 0.21    −0.292 ± 0.11    −1.160 ± 0.03   
0.5  1.29  0.701  127.5  2.430 ± 0.18    −0.092 ± 0.10    −0.738 ± 0.03   
0.5  1.29  0.701  142.5  1.418 ± 0.19    0.073 ± 0.15     −0.573 ± 0.05   
0.5  1.31  0.684  7.5    13.848 ± 1.19   −0.818 ± 0.79    −1.479 ± 0.70   
